country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",26-03-2025 22:00,28.840739,78.697531,PM2.5,49,218,98
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",26-03-2025 22:00,26.90723,80.98579,CO,8,72,19
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",26-03-2025 22:00,26.8458805,80.9365541,NO2,46,93,69
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",26-03-2025 22:00,26.8458805,80.9365541,SO2,4,33,15
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",26-03-2025 22:00,26.83399722,80.8917361,NH3,5,19,12
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB",26-03-2025 22:00,28.2348927,77.8683002,OZONE,5,8,7
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",26-03-2025 22:00,22.7605581,88.3617589,CO,53,107,58
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",26-03-2025 22:00,23.567923,87.306843,NH3,1,16,2
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",26-03-2025 22:00,23.508764,87.35444,PM10,83,286,156
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",26-03-2025 22:00,22.06047,88.109737,NO2,11,49,21
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",26-03-2025 22:00,22.06047,88.109737,SO2,8,91,31
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",26-03-2025 22:00,22.06047,88.109737,CO,31,49,41
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",26-03-2025 22:00,22.06047,88.109737,OZONE,19,25,23
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",26-03-2025 22:00,22.629801,88.352017,PM2.5,45,113,69
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",26-03-2025 22:00,25.301778,82.996789,PM2.5,NA,NA,NA
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",26-03-2025 22:00,25.301778,82.996789,NH3,1,1,1
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",26-03-2025 22:00,25.301778,82.996789,SO2,34,38,35
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",26-03-2025 22:00,25.262326,82.995408,PM2.5,13,80,42
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",26-03-2025 22:00,25.262326,82.995408,PM10,40,117,82
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",26-03-2025 22:00,25.262326,82.995408,OZONE,1,11,4
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",26-03-2025 22:00,25.32393,82.99687,NO2,2,2,2
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",26-03-2025 22:00,25.32393,82.99687,CO,16,96,36
India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",26-03-2025 22:00,30.269444,78.044167,PM10,87,147,109
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",26-03-2025 22:00,22.49929,88.36917,PM2.5,77,158,99
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",26-03-2025 22:00,22.49929,88.36917,SO2,3,13,5
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",26-03-2025 22:00,22.627847,88.380669,PM2.5,61,136,80
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",26-03-2025 22:00,22.627847,88.380669,CO,27,48,30
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",26-03-2025 22:00,22.51106,88.35142,CO,18,36,21
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",26-03-2025 22:00,22.51106,88.35142,OZONE,13,88,47
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",26-03-2025 22:00,22.5448082,88.3403691,PM10,69,134,97
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",26-03-2025 22:00,22.5448082,88.3403691,NO2,28,47,34
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",26-03-2025 22:00,22.5448082,88.3403691,OZONE,13,59,29
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",26-03-2025 22:00,28.840739,78.697531,NH3,7,14,9
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",26-03-2025 22:00,28.840739,78.697531,OZONE,6,174,114
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",26-03-2025 22:00,28.88528,78.7388,PM2.5,61,198,101
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",26-03-2025 22:00,28.88528,78.7388,NH3,4,4,4
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",26-03-2025 22:00,28.88528,78.7388,OZONE,15,115,69
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",26-03-2025 22:00,28.856664,78.772638,SO2,31,86,47
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",26-03-2025 22:00,28.802625,78.753728,NO2,25,27,27
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",26-03-2025 22:00,28.802625,78.753728,NH3,5,5,5
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",26-03-2025 22:00,22.554954,88.292568,PM10,61,163,91
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",26-03-2025 22:00,22.554954,88.292568,SO2,5,16,8
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",26-03-2025 22:00,22.6025571,88.3105664,PM10,44,192,91
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",26-03-2025 22:00,22.6025571,88.3105664,CO,35,64,41
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",26-03-2025 22:00,22.611968,88.347422,NH3,5,10,7
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",26-03-2025 22:00,22.5367507,88.3638022,PM10,64,152,86
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",26-03-2025 22:00,22.5367507,88.3638022,NO2,21,43,27
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",26-03-2025 22:00,22.5367507,88.3638022,CO,31,56,35
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",26-03-2025 22:00,29.2124114,78.9611753,SO2,NA,NA,NA
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",26-03-2025 22:00,23.685297,86.945968,NO2,22,117,59
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",26-03-2025 22:00,23.685297,86.945968,SO2,10,28,21
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",26-03-2025 22:00,23.697936,86.944395,PM10,95,269,176
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",26-03-2025 22:00,23.697936,86.944395,NH3,1,4,2
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",26-03-2025 22:00,23.618183,87.105718,NO2,16,104,60
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",26-03-2025 22:00,28.56923,77.393848,NO2,25,218,130
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",26-03-2025 22:00,25.425602,81.917152,PM10,54,338,133
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",26-03-2025 22:00,25.425602,81.917152,NH3,5,5,5
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",26-03-2025 22:00,25.44919916,81.82735986,NO2,5,5,5
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",26-03-2025 22:00,25.44919916,81.82735986,SO2,12,129,64
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",26-03-2025 22:00,25.3505986,82.9083074,PM2.5,20,174,83
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",26-03-2025 22:00,29.4723508,77.7194031,PM10,NA,NA,NA
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",26-03-2025 22:00,29.4723508,77.7194031,NO2,NA,NA,NA
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",26-03-2025 22:00,28.5447608,77.3231257,PM2.5,16,217,91
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",26-03-2025 22:00,28.5447608,77.3231257,SO2,18,43,28
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",26-03-2025 22:00,28.5447608,77.3231257,OZONE,2,93,51
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",26-03-2025 22:00,28.6245479,77.3577104,OZONE,6,82,39
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",26-03-2025 22:00,26.6879226,88.4152495,NH3,NA,NA,NA
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",26-03-2025 22:00,25.204762,85.51496,OZONE,24,41,31
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",26-03-2025 22:00,25.56752,83.966379,PM2.5,22,190,103
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",26-03-2025 22:00,25.56752,83.966379,PM10,72,141,109
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",26-03-2025 22:00,25.56752,83.966379,NO2,5,5,5
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",26-03-2025 22:00,25.56752,83.966379,SO2,2,13,7
